index,s,t,et
367,193830,332614,9
368,79016,131499,9
369,110101,118184,9
370,70243,36099,9
371,319594,255787,9
372,301753,97048,9
373,343926,242503,9
374,163820,47209,9
375,46961,71479,9
376,76852,221356,9
377,199837,103089,9
378,53241,165541,9
379,277036,21733,9
380,157574,100100,9
381,143830,174073,9
382,293881,350662,9
383,304794,229912,9
384,217698,258908,9
385,337200,129232,9
386,73209,38738,9
387,33983,328308,9
388,335269,217034,10
389,58496,25494,10
390,186284,321792,10
391,84982,34000,10
392,267341,146948,10
393,213134,58581,10
394,245246,181854,10
395,256839,42560,10
396,119130,291072,10
397,279323,235953,10
398,128603,306834,10
399,294510,47592,10
400,273520,153176,10
401,125106,85751,10
402,274629,100190,10
403,118120,266275,10
404,74654,330546,10
405,236832,209747,10
406,217334,342295,10
407,184287,340561,10
408,157852,196489,10
409,311611,17960,10
410,109241,122378,10
411,146731,20417,10
412,10656,310018,10
413,103993,284913,10
414,177967,48388,10
415,213527,209894,10
416,245829,344453,10
417,113018,335218,10
418,282538,260595,10
419,344443,251339,10
420,107523,347636,10
421,238399,45138,10
422,311156,101862,10
423,81042,48648,10
424,115297,288446,10
425,68336,258373,10
426,62596,31393,10
427,143101,179196,10
428,35979,271435,10
429,300495,163148,10
430,204089,161448,11
431,197083,148943,11
432,185676,289877,11
433,211043,184746,11
434,256002,180383,11
435,78076,175942,11
436,186182,267407,11
437,180860,142791,11
438,307097,102656,11
439,268188,67012,11
440,64444,290028,11
441,213091,94376,11
442,325434,3677,11
443,63479,117917,11
444,144595,257877,11
445,85486,103697,11
446,177866,254320,11
447,42669,238865,11
448,83017,28647,11
449,253600,290088,11
450,281380,258702,11
451,210289,228738,11
452,27959,132228,11
453,171603,277499,11
454,85237,106794,11
455,11926,149398,11
456,78005,176103,11
457,60505,253853,11
458,270760,287751,11
459,276923,146351,11
460,110377,329826,11
461,114273,42680,11
462,60216,225998,11
463,264605,335062,11
464,274053,1563,11
465,276362,49885,12
466,122544,179873,12
467,317576,254459,12
468,177204,321502,12
469,218287,321253,12
470,256043,30157,12
471,212591,268107,12
472,70243,329927,12
473,172737,315415,12
474,58759,302279,12
475,168033,245816,12
476,22416,265537,12
477,31203,191543,12
478,227553,22905,12
479,291433,15006,12
480,185118,189117,12
481,289273,110290,12
482,37579,114739,12
483,120700,148945,12
484,351057,224503,12
485,129199,94034,12
486,286310,108951,12
487,339870,263584,12
488,276394,74298,12
489,219097,155157,12
490,324980,267545,12
491,83468,6225,12
492,117112,62493,12
493,145027,13282,12
494,221768,116983,12
495,13583,245353,12
496,326682,205245,12
497,62747,134579,12
498,133147,256739,12
499,53681,323477,12
500,147312,86989,12
501,72053,132985,12
502,113688,33973,12
503,258137,60123,12
504,301746,275378,12
505,211260,58751,12
506,321607,349202,12
507,55213,227155,12
508,130038,246873,12
509,347625,211197,12
510,306216,24328,12
511,30142,180230,12
512,262479,40889,12
513,21056,284578,13
514,19220,116290,13
515,2896,41570,13
516,50287,55395,13
517,168511,55031,13
518,327954,21668,13
519,202532,198958,13
520,270451,258113,13
521,189182,68573,13
522,345937,266145,13
523,19033,322000,13
524,74897,286276,13
525,327904,165149,13
526,33497,178870,13
527,266829,179984,13
528,229690,81151,13
529,99756,145042,13
530,49029,193328,13
531,156434,42244,13
532,8333,264590,13
533,152851,143615,13
534,51382,329727,13
535,263519,236064,13
536,128655,83822,13
537,181675,79188,13
538,41869,37034,13
539,123324,173926,13
540,221258,15782,13
541,303343,171894,13
542,273788,181972,13
543,293019,132404,13
544,309797,271327,13
545,288869,36990,13
546,133123,6016,13
547,140501,55608,14
548,192023,330227,14
549,9030,190881,14
550,325456,3118,14
551,32205,326203,14
552,65835,51047,14
553,227427,257916,14
554,339967,340875,14
555,250628,185758,14
556,51321,239622,14
557,264011,94519,14
558,184135,190008,14
559,61699,134319,14
560,30707,347516,14
561,2699,129119,14
562,106682,157181,14
563,221205,155450,14
564,275638,257064,14
565,179060,65835,14
566,138907,124650,14
567,172214,50429,14
568,205274,34167,14
569,196988,66374,14
570,69995,178760,14
571,285550,223292,14
572,263704,67126,14
573,106938,154095,14
574,203867,111130,14
575,119795,96732,15
576,245325,140103,15
577,109001,9333,15
578,39308,59659,15
579,9030,13449,15
580,254506,306907,15
581,241177,106309,15
582,148023,97756,15
583,293741,306906,15
584,102618,247682,15
585,60257,280519,15
586,44949,252173,15
587,326883,7889,15
588,44972,129244,15
589,55940,176268,15
590,208915,337588,15
591,264102,52211,15
592,190450,330324,15
593,54012,199897,15
594,35030,188382,15
595,177721,655,15
596,163138,194117,15
597,260685,301772,15
598,10997,254164,15
599,9845,182950,15
600,25696,215707,15
601,252652,82857,15
602,240506,347987,15
603,342309,161695,15
604,272170,218288,15
605,233700,350225,15
606,104728,116770,15
607,195662,881,15
608,65379,78829,15
609,60219,124685,15
610,123740,160390,15
611,261546,286494,15
612,158274,223963,15
613,213755,332583,15
614,63548,152738,15
615,45929,271325,15
616,32204,68604,15
617,250360,261547,16
618,172689,22290,16
619,76955,33793,16
620,67322,48056,16
621,67,193193,16
622,272949,340499,16
623,29832,320823,16
624,156744,20834,16
625,121095,81934,16
626,251480,141283,16
627,178851,193173,16
628,339324,71329,16
629,297933,142599,16
630,349796,200572,16
631,162966,60512,16
632,25072,236723,16
633,214180,316932,16
634,112143,267785,16
635,72194,236630,16
636,71337,337701,16
637,114458,289741,16
638,39140,122089,16
639,326298,6407,16
640,108382,196466,16
641,107521,292643,16
642,305506,23172,16
643,126959,340480,16
644,118292,87447,16
645,247738,292013,16
646,110484,108648,16
647,70831,48648,16
648,343145,219470,16
649,105845,193534,16
650,115089,4492,16
651,56486,78428,16
652,52796,184196,16
653,17787,306636,16
654,146193,305938,16
655,104031,82214,17
656,79358,30739,17
657,316823,46655,17
658,236747,8728,17
659,222828,136875,17
660,271325,134290,17
661,7954,227508,17
662,37652,8761,17
663,80530,4631,17
664,302767,70597,17
665,111889,160195,17
666,229308,215859,17
667,8931,187911,17
668,235981,102525,17
669,207147,170291,17
670,130789,147749,17
671,29432,204015,17
672,333077,327298,17
673,99152,51294,17
674,117917,348045,17
675,105107,145683,17
676,284141,215078,17
677,24881,83856,17
678,313093,119213,17
679,252683,143645,17
680,54941,272932,17
681,137318,278814,17
682,93048,85140,17
683,155028,235526,17
684,269467,227670,17
685,154004,241507,17
686,229397,10437,17
687,69905,348484,17
688,252405,16422,17
689,246432,107858,17
690,29026,247017,17
691,222310,306475,17
692,275957,44877,17
693,6203,202917,17
694,318460,301029,17
695,112589,265526,17
696,244860,202759,17
697,241231,204776,18
698,207222,225977,18
699,300251,38854,18
700,2888,240128,18
701,172437,207474,18
702,61974,42214,18
703,194938,166981,18
704,150439,31651,18
705,87454,76946,18
706,187910,308916,18
707,346415,120641,18
708,116351,70061,18
709,122769,230264,18
710,288200,130449,18
711,341998,304810,18
712,215143,209508,18
713,195447,154137,18
714,286019,290311,18
715,315382,316276,18
716,60755,337357,18
717,76125,320756,18
718,190288,337012,18
719,136066,327182,18
720,170559,38737,18
721,15695,64789,18
722,59288,250042,18
723,338399,106358,18
724,33957,60667,18
725,308106,311557,18
726,146443,109379,18
727,333659,67000,18
728,19139,102743,18
729,2219,64432,18
730,288284,232674,18
731,127929,257430,18
732,236545,20945,19
733,278577,254070,19
734,14517,238218,19
735,194514,240099,19
736,326021,19359,19
737,19131,178952,19
738,258550,49993,19
739,313856,332721,19
740,33931,244163,19
741,237486,10336,19
742,79105,29378,19
743,144259,57079,19
744,103280,243108,19
745,319255,51087,19
746,68832,105427,19
747,38228,182427,19
748,147138,276985,19
749,82439,5781,19
750,270450,94582,19
751,9073,186028,19
752,130319,130185,19
753,117633,17088,19
754,331537,134047,19
755,59559,191936,19
756,277600,119703,19
757,63406,43484,19
758,232551,187950,19
759,215941,175466,19
760,272100,16801,19
761,210061,93728,19
762,300418,82013,19
763,4655,50083,19
764,303770,228679,19
765,156225,64847,19
766,203231,69573,19
767,114219,180805,19
768,163913,122588,19
769,339695,32028,19
770,39795,113155,19
771,206696,95893,19
772,107060,80159,19
773,339157,293189,20
774,244085,319436,20
775,348077,260486,20
776,45870,131545,20
777,104007,244642,20
778,174501,135855,20
779,228113,65129,20
780,164375,106451,20
781,322010,90427,20
782,312050,114348,20
783,272207,180230,20
784,48319,232258,20
785,336894,197091,20
786,22106,167130,20
787,300995,121779,20
788,191662,231960,20
789,209003,105426,20
790,342193,76420,20
791,293889,334924,20
792,270966,286056,20
793,162984,176708,20
794,89839,34390,20
795,207087,55437,20
796,320758,110402,20
797,337313,100924,20
798,239799,155406,20
799,65647,132888,20
800,276035,129232,20
801,125996,116613,20
802,90406,168696,20
803,251446,209682,21
804,46239,133248,21
805,35086,295606,21
806,160836,9251,21
807,107204,44262,21
808,184474,310989,21
809,242786,53032,21
810,244860,66684,21
811,6036,103806,21
812,147028,234175,21
813,281267,330227,21
814,63769,215078,21
815,87779,51975,21
816,194541,42593,21
817,273232,319951,21
818,312271,253572,21
819,160744,288968,21
820,23245,286431,21
821,340660,176884,21
822,133123,158895,21
823,210037,4039,21
824,19812,147787,21
825,116578,121882,21
826,61942,164735,21
827,18445,197626,21
828,82376,191795,21
829,262060,161195,21
830,117824,218735,21
831,159347,348073,21
832,13309,351132,21
833,50451,118290,21
834,138219,335830,21
835,346398,259162,21
836,240180,42975,21
837,302,26356,21
838,292639,267833,21
839,178499,316514,22
840,70474,200572,22
841,312421,183846,22
842,333138,268331,22
843,247128,32447,22
844,184386,206086,22
845,95164,268270,22
846,328443,313685,22
847,265370,343709,22
848,22998,52595,22
849,89956,331155,22
850,32496,199041,22
851,307563,15430,22
852,283045,270508,22
853,301496,46224,22
854,278314,163513,22
855,139354,173611,22
856,114582,344336,22
857,289013,272036,22
858,107023,262093,22
859,45647,303327,22
860,50521,322250,22
861,180882,47592,22
862,9030,13449,22
863,66875,113643,22
864,48839,71925,22
865,117884,208671,22
866,340079,229666,22
867,20731,297972,22
868,345148,129112,22
869,291591,117658,22
870,338269,348399,22
871,184645,288250,22
872,325606,184010,22
873,105669,283557,22
874,282836,35109,22
875,101053,43484,22
876,105989,80981,22
877,164375,145216,22
878,126539,251761,23
879,319455,308266,23
880,130319,244464,23
881,176362,133210,23
882,48746,328898,23
883,265871,252768,23
884,326880,192304,23
885,262721,34024,23
886,107142,315234,23
887,105137,37687,23
888,333506,338866,23
889,259444,128309,23
890,42950,52938,23
891,196588,285896,23
892,12963,232901,23
893,301651,295246,23
894,120166,279474,23
895,57532,14825,23
896,124479,135071,23
897,254637,101855,23
898,63624,326456,23
899,302286,20670,23
900,214996,162414,23
901,49157,98775,23
902,110821,166503,23
903,105185,160321,23
904,349491,253482,23
905,304463,36562,23
906,342813,229391,23
907,167880,3921,23
908,135322,196032,23
909,226018,126953,23
910,24265,278101,23
911,173494,216315,23
912,68104,323686,23
913,291726,274952,23
914,45863,3892,23
915,130904,97616,23
916,218789,310795,23
917,213338,249189,23
918,207079,218077,24
919,38366,34166,24
920,205192,1547,24
921,243932,194948,24
922,320572,341621,24
923,58267,90295,24
924,293513,178187,24
925,228254,183473,24
926,303911,142831,24
927,67626,106795,24
928,95999,316474,24
929,145368,111853,24
930,132577,117112,24
931,346641,319055,24
932,100713,130077,24
933,265061,153825,24
934,252576,347499,24
935,41831,54076,24
936,65212,134606,24
937,175149,130459,24
938,167942,309781,24
939,72223,338869,24
940,262769,300218,24
941,13550,333286,24
942,332737,193168,24
943,284843,202319,24
944,46084,75606,24
945,30607,150670,24
946,240946,251403,24
947,254840,220348,24
948,258776,121096,24
949,182090,157416,24
950,222211,278910,24
951,346047,184721,24
952,113571,139792,24
953,191406,165113,25
954,92182,189921,25
955,289978,30163,25
956,272608,106440,25
957,89795,271235,25
958,187719,289662,25
959,81888,241864,25
960,314160,215649,25
961,80676,93943,25
962,224984,30901,25
963,22469,322344,25
964,229884,264894,25
965,257755,127929,25
966,13130,275166,25
967,257038,41943,25
968,145072,285614,25
969,254308,204299,25
970,315664,241802,25
971,341272,117589,25
972,123822,258866,25
973,297490,130035,25
974,254479,11004,25
975,251626,307756,25
976,15005,133935,25
977,129620,206806,25
978,51302,235407,25
979,46102,67076,25
980,134854,68852,25
981,215146,207339,25
982,38531,245720,25
983,122246,177231,25
984,130662,26655,25
985,318010,170216,25
986,232677,213612,25
987,68901,123700,25
988,157891,330287,25
989,232675,142792,25
990,273334,243096,25
991,196223,278997,25
992,26465,84806,25
993,115487,314114,25
994,319459,254180,25
995,11069,110680,25
996,157206,44836,25
997,78536,170530,25
998,19277,174226,26
999,107858,219640,26
1000,147648,185591,26
1001,247962,135942,26
1002,117218,96825,26
1003,204268,86070,26
1004,198303,105758,26
1005,246260,316276,26
1006,249055,9978,26
1007,268415,331526,26
1008,49920,261694,26
1009,61383,236247,26
1010,64193,27806,26
1011,278789,22965,26
1012,294889,129186,26
1013,221116,136612,26
1014,223797,199227,26
1015,171190,48692,26
1016,347081,302212,26
1017,266667,300511,26
1018,342777,27128,26
1019,158899,180248,26
1020,169561,109541,26
1021,288198,182939,26
1022,288194,325993,26
1023,301240,95277,26
1024,293399,83042,26
1025,293399,295619,26
1026,256154,176364,26
1027,64016,305938,26
1028,97876,244739,26
1029,15701,250657,27
1030,13295,138002,27
1031,103753,61210,27
1032,19091,187351,27
1033,288995,38438,27
1034,53246,342577,27
1035,57245,10879,27
1036,53141,266452,27
1037,151343,169567,27
1038,73718,208398,27
1039,60385,210491,27
1040,142001,60667,27
1041,12570,159249,27
1042,79591,249308,27
1043,339111,338220,27
1044,296971,287251,27
1045,323308,215074,27
1046,214053,335405,27
1047,188040,92844,27
1048,287327,57818,27
1049,260725,207915,27
1050,157049,284484,27
1051,202388,288797,27
1052,21258,197802,27
1053,240736,196033,27
1054,238052,28060,27
1055,43627,283850,27
1056,86896,339416,27
1057,212513,27805,27
1058,63782,58921,27
1059,227157,130968,27
1060,219279,340322,27
1061,168761,86869,27
1062,112023,32539,27
1063,146304,289897,27
1064,204476,52437,27
1065,273976,178933,27
1066,267600,108127,27
1067,315348,339136,27
1068,19893,240162,27
1069,134318,262794,28
1070,157676,131623,28
1071,134801,61553,28
1072,145652,323240,28
1073,339193,47041,28
1074,164116,239195,28
1075,110718,348525,28
1076,205618,99834,28
1077,347439,168098,28
1078,4039,336824,28
1079,333553,65266,28
1080,338862,58445,28
1081,44878,44116,28
1082,211986,68853,28
1083,347242,49659,28
1084,258083,237874,28
1085,249530,255701,28
1086,252936,262628,28
1087,183959,158202,28
1088,286670,1785,28
1089,119437,227934,28
1090,60512,67493,28
1091,132631,268192,28
1092,286725,34003,28
1093,282152,230134,28
1094,57743,300732,28
1095,146703,236660,28
1096,144391,34190,28
1097,163792,300927,28
1098,94376,260421,28
1099,305797,87608,28
1100,327954,163818,28
1101,5158,302212,28
1102,218034,22116,28
1103,243584,212246,28
1104,227814,250386,29
1105,193694,48504,29
1106,339190,293905,29
1107,213249,300250,29
1108,234443,67077,29
1109,199467,143439,29
1110,329663,229391,29
1111,314560,316932,29
1112,253958,188006,29
1113,90535,50958,29
1114,218847,303238,29
1115,149563,201495,29
1116,84904,68336,29
1117,217334,12570,29
1118,31727,238559,29
1119,278604,255030,29
1120,168620,178778,29
1121,237532,301691,29
1122,296676,258490,29
1123,91614,81551,29
1124,249819,136043,29
1125,99362,18983,29
1126,222863,67125,29
1127,260896,145180,29
1128,71479,184953,29
1129,238168,75081,29
1130,286785,264199,29
1131,51312,178550,29
1132,269532,189729,29
1133,299884,42975,29
1134,114383,139801,29
1135,134804,327344,29
1136,161941,78206,29
1137,235903,294677,29
1138,142033,179680,29
1139,304599,79850,29
1140,195867,83948,29
1141,329931,152834,29
1142,82754,37716,29
1143,294494,290317,29
1144,86141,219737,30
1145,110377,59460,30
1146,8680,296428,30
1147,175636,69562,30
1148,94190,315758,30
1149,61169,288254,30
1150,219510,176990,30
1151,301289,207087,30
1152,349962,278101,30
1153,182970,319999,30
1154,173834,240372,30
1155,124824,74405,30
1156,80538,255502,30
1157,274225,70163,30
1158,7847,285489,30
1159,91131,201134,30
1160,336375,78837,30
1161,199026,115282,30
1162,293741,306246,30
1163,185966,14028,30
1164,130377,101055,30
1165,276272,234291,30
1166,254232,342873,30
1167,146310,84473,30
1168,204080,95257,30
1169,123346,203615,30
1170,31597,35689,30
1171,105847,66103,30
1172,289439,233183,30
1173,163820,331102,30
1174,279137,133281,30
1175,13706,283466,30
1176,160408,93602,30
1177,201779,162972,31
1178,205586,15033,31
1179,31324,101489,31
1180,196974,252932,31
1181,341403,306755,31
1182,178557,99033,31
1183,87793,78155,31
1184,70175,296543,31
1185,29856,123822,31
1186,334129,258728,31
1187,19358,84472,31
1188,342392,182206,31
1189,256147,343718,31
1190,274821,288081,31
1191,345867,338592,31
1192,181772,262974,31
1193,78987,134870,31
1194,240048,131107,31
1195,221085,212263,31
1196,167006,326216,31
1197,241411,55699,31
1198,333269,196971,31
1199,60754,242226,31
1200,187140,284078,31
1201,346011,89034,31
1202,229153,164753,31
1203,1240,253319,31
1204,222261,6885,31
1205,261611,205587,31
1206,98597,48895,31
1207,98786,121873,31
1208,141958,276906,31
1209,49516,96047,31
1210,86775,84472,32
1211,336546,53657,32
1212,298648,274049,32
1213,56123,63651,32
1214,249698,294794,32
1215,237653,22997,32
1216,233729,55477,32
1217,88772,167953,32
1218,188732,342832,32
1219,194912,19629,32
1220,279937,255897,32
1221,188807,45798,32
1222,10687,241342,32
1223,130949,112507,32
1224,82986,134574,32
1225,240498,163820,32
1226,179761,260545,32
1227,71478,96851,32
1228,303738,162690,32
1229,146901,219637,32
1230,223273,95896,32
1231,54031,18594,32
1232,77312,81162,32
1233,82577,12964,32
1234,74309,89692,32
1235,18393,24829,32
1236,211240,181839,32
1237,272100,75729,32
1238,331736,289295,32
1239,137313,310553,32
1240,285400,220977,32
1241,46385,320981,32
1242,51929,169330,32
1243,205644,184888,32
1244,13953,153565,32
1245,31727,62500,32
1246,196489,213689,32
1247,248424,54872,32
1248,275507,27899,33
1249,285791,160041,33
1250,245331,86498,33
1251,340258,304090,33
1252,6414,161800,33
1253,1612,37627,33
1254,104241,135910,33
1255,61941,45084,33
1256,94004,205184,33
1257,61417,318010,33
1258,243073,7970,33
1259,16603,13550,33
1260,265537,280895,33
1261,343255,253292,33
1262,271480,128068,33
1263,162921,48894,33
1264,142657,121601,33
1265,74298,87281,33
1266,38366,63133,33
1267,328156,68687,33
1268,1855,88771,33
1269,258233,197843,33
1270,117297,272161,33
1271,266949,53875,33
1272,35381,252189,33
1273,52914,263729,33
1274,44643,80530,33
1275,114552,241377,33
1276,307505,329640,33
1277,3031,102034,33
1278,237929,318913,33
1279,107244,132845,33
1280,308302,190457,33
1281,82198,103323,33
1282,227289,45908,33
1283,178518,294649,33
1284,98749,26308,33
1285,246155,130970,33
1286,160592,256363,33
1287,219996,227412,33
1288,236721,109088,33
1289,57028,327663,33
1290,4740,235751,33
1291,256775,218987,34
1292,264631,182894,34
1293,254506,350265,34
1294,92354,266828,34
1295,323324,311876,34
1296,300642,87509,34
1297,195606,285710,34
1298,120433,95677,34
1299,58205,258421,34
1300,290317,102882,34
1301,209026,265204,34
1302,190412,62097,34
1303,313366,122408,34
1304,170214,184328,34
1305,42542,139296,34
1306,95918,251434,34
1307,54905,325007,34
1308,260425,225725,34
1309,276922,91163,34
1310,162676,41597,34
1311,15194,274433,34
1312,30460,70683,34
1313,25909,230009,34
1314,213755,91060,34
1315,198775,213786,34
1316,11782,105839,34
1317,332989,60666,34
1318,309865,69446,34
1319,299764,8948,34
1320,313826,325308,34
1321,87114,65018,34
1322,246315,212716,34
1323,158829,153038,34
1324,244928,262863,34
1325,303539,173493,34
1326,249334,99171,34
1327,27708,338213,34
1328,256938,141814,34
1329,253247,102720,34
1330,337964,27021,34
1331,196317,291861,34
1332,120809,253561,34
1333,264590,198962,34
1334,151481,172988,34
1335,21311,196113,35
1336,295139,316934,35
1337,195588,49347,35
1338,189047,345409,35
1339,48801,126692,35
1340,74875,128749,35
1341,284589,64439,35
1342,93093,250204,35
1343,129365,29209,35
1344,271154,56648,35
1345,22221,351035,35
1346,36442,137243,35
1347,9791,195662,35
1348,228596,131514,35
1349,323803,101238,35
1350,71966,127428,35
1351,303453,45394,35
1352,186554,294948,35
1353,135277,261135,35
1354,154530,155673,35
1355,333011,33377,35
1356,314803,70615,35
1357,100158,162723,35
1358,19220,116290,35
1359,290905,321014,35
1360,31193,44116,35
1361,71074,224941,35
1362,137639,103888,35
